step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1695,80,40856,416.8979592,1.866910046,80,36949,0.083989556,80,36949
1700,81,41257,408.4851485,2.153257713,81,37203,0.066943011,81,37203
1705,84,41672,416.72,1.98384875,84,37518,0.062628446,84,37518
1710,78,41999,428.5612245,1.454481379,78,37793,0.067405416,78,37793
1715,76,42363,450.6702128,1.706473391,76,38026,0.082046239,76,38026
1720,78,42746,427.46,2.562477962,78,38292,0.088632115,78,38292
1725,78,43136,449.3333333,2.297602094,78,38582,0.061759823,78,38582
1730,73,43023,452.8736842,2.185549409,73,38191,0.092028804,73,38191
1735,66,42563,462.6413043,2.401763458,66,37276,0.098492528,66,37276
1740,59,42176,463.4725275,2.853430062,59,36341,0.109522015,59,36341
1745,53,41747,458.7582418,2.892727386,53,36272,0.143064195,53,36272
1750,51,41699,473.8522727,3.105580515,51,36392,0.16153421,51,36392
1755,60,41980,451.3978495,3.05569713,60,36560,0.140822911,60,36560
1760,60,42113,448.0106383,2.341343864,60,36676,0.1085381,60,36676
1765,67,42411,437.2268041,2.198138705,67,36787,0.096121078,67,36787
1770,75,42773,440.9587629,2.004713104,75,37023,0.055604125,75,37023
1775,78,43131,444.6494845,1.81949395,78,37289,0.067422105,78,37289
1780,78,43511,467.8602151,1.783030541,78,37545,0.067090972,78,37545
1785,78,43901,457.3020833,2.425698158,78,37821,0.063686443,78,37821
1790,74,44027,468.3723404,2.086756937,74,37621,0.069313008,74,37621
1795,69,44056,478.8695652,2.192943093,69,37045,0.093394545,69,37045
1800,60,43994,494.3146067,2.594530619,60,36267,0.098501254,60,36267
1805,52,43942,477.6304348,2.895449327,52,36207,0.13502438,52,36207
1810,52,43979,511.3837209,2.846059998,52,36319,0.126682358,52,36319
1815,61,44265,470.9042553,3.037220482,61,36485,0.123486146,61,36485
1820,67,44587,479.4301075,1.995302551,67,36687,0.08320466,67,36687
1825,70,44729,456.4183673,1.652611495,70,36824,0.08686775,70,36824
1830,76,45058,469.3541667,1.67081064,76,36950,0.082522714,76,36950
1835,80,45454,454.54,1.9772356,80,37196,0.063142598,80,37196
1840,79,35344,360.6530612,1.757230246,79,35489,0.062992314,79,35489
1845,73,22341,227.9693878,2.036668356,73,31779,0.087115393,73,31779
1850,66,12115,122.3737374,2.891446855,66,26088,0.101942741,66,26088
1855,57,4590,46.83673469,2.819646672,57,26280,0.131923573,57,26280
1860,49,1666,17.91397849,2.651428959,49,26387,0.113599715,49,26387
1865,57,1939,19.58585859,3.297969134,57,26509,0.149071643,57,26509
1870,64,2245,22.90816327,2.9262797,64,26734,0.112963008,64,26734
1875,73,2589,25.63366337,2.596976024,73,27013,0.097333032,73,27013
1880,78,2969,30.29591837,1.959453852,78,27324,0.066428876,78,27324
